InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
272,6,"2012/4/11","Rilská 3174/6","Prague","","Czech Republic","14300",0.99
273,7,"2012/4/24","Rotenturmstraße 4; 1010 Innere Stadt","Vienne","","Austria","1010",1.98
274,9,"2012/4/24","Sønder Boulevard 51","Copenhagen","","Denmark","1720",1.98
279,44,"2012/5/12","Porthaninkatu 9","Helsinki","","Finland","00530",0.99
280,45,"2012/5/25","Erzsébet krt. 58.","Budapest","","Hungary","H-1073",1.98
282,49,"2012/5/26","Ordynacka 10","Warsaw","","Poland","00-358",3.96
283,53,"2012/5/27","113 Lupus St","London","","United Kingdom","SW1V 3EN",5.94
284,59,"2012/5/30","3;Raj Bhavan Road","Bangalore","","India","560001",8.91
285,9,"2012/6/4","Sønder Boulevard 51","Copenhagen","","Denmark","1720",13.86
29,36,"2009/5/5","Tauentzienstraße 8","Berlin","","Germany","10789",1.98
291,38,"2012/6/30","Barbarossastraße 19","Berlin","","Germany","10779",8.91
293,2,"2012/7/13","Theodor-Heuss-Straße 34","Stuttgart","","Germany","70174",0.99
295,5,"2012/7/26","Klanova 9/506","Prague","","Czech Republic","14700",1.98
296,7,"2012/7/27","Rotenturmstraße 4; 1010 Innere Stadt","Vienne","","Austria","1010",3.96
3,8,"2009/1/3","Grétrystraat 63","Brussels","","Belgium","1000",5.94
30,38,"2009/5/6","Barbarossastraße 19","Berlin","","Germany","10779",3.96
300,40,"2012/8/13","8; Rue Hanovre","Paris","","France","75002",0.99
301,41,"2012/8/26","11; Place Bellecour","Lyon","","France","69002",1.98
302,43,"2012/8/26","68; Rue Jouvence","Dijon","","France","21000",1.98
303,45,"2012/8/27","Erzsébet krt. 58.","Budapest","","Hungary","H-1073",3.96
304,49,"2012/8/28","Ordynacka 10","Warsaw","","Poland","00-358",5.94
306,5,"2012/9/5","Klanova 9/506","Prague","","Czech Republic","14700",16.86
31,42,"2009/5/7","9; Place Louis Barthou","Bordeaux","","France","33000",5.94
313,43,"2012/10/6","68; Rue Jouvence","Dijon","","France","21000",16.86
315,58,"2012/10/27","12;Community Centre","Delhi","","India","110017",1.98
318,7,"2012/10/29","Rotenturmstraße 4; 1010 Innere Stadt","Vienne","","Austria","1010",5.94
321,36,"2012/11/14","Tauentzienstraße 8","Berlin","","Germany","10789",0.99
322,37,"2012/11/27","Berger Straße 10","Frankfurt","","Germany","60316",1.98
323,39,"2012/11/27","4; Rue Milton","Paris","","France","75009",1.98
324,41,"2012/11/28","11; Place Bellecour","Lyon","","France","69002",3.96
325,45,"2012/11/29","Erzsébet krt. 58.","Budapest","","Hungary","H-1073",5.94
326,51,"2012/12/2","Celsiusg. 9","Stockholm","","Sweden","11230",8.91
334,39,"2013/1/7","4; Rue Milton","Paris","","France","75009",13.86
335,53,"2013/1/15","113 Lupus St","London","","United Kingdom","SW1V 3EN",0.99
336,54,"2013/1/28","110 Raeburn Pl","Edinburgh ","","United Kingdom","EH4 1HH",1.98
337,56,"2013/1/28","307 Macacha Güemes","Buenos Aires","","Argentina","1106",1.98
338,58,"2013/1/29","12;Community Centre","Delhi","","India","110017",3.96
340,9,"2013/2/2","Sønder Boulevard 51","Copenhagen","","Denmark","1720",8.91
345,37,"2013/3/1","Berger Straße 10","Frankfurt","","Germany","60316",3.96
346,41,"2013/3/2","11; Place Bellecour","Lyon","","France","69002",5.94
348,56,"2013/3/10","307 Macacha Güemes","Buenos Aires","","Argentina","1106",13.86
356,49,"2013/4/18","Ordynacka 10","Warsaw","","Poland","00-358",0.99
357,50,"2013/5/1","C/ San Bernardo 85","Madrid","","Spain","28015",1.98
358,52,"2013/5/1","202 Hoxton Street","London","","United Kingdom","N1 5LH",1.98
359,54,"2013/5/2","110 Raeburn Pl","Edinburgh ","","United Kingdom","EH4 1HH",3.96
360,58,"2013/5/3","12;Community Centre","Delhi","","India","110017",5.94
361,5,"2013/5/6","Klanova 9/506","Prague","","Czech Republic","14700",8.91
367,37,"2013/6/3","Berger Straße 10","Frankfurt","","Germany","60316",5.94
368,43,"2013/6/6","68; Rue Jouvence","Dijon","","France","21000",8.91
369,52,"2013/6/11","202 Hoxton Street","London","","United Kingdom","N1 5LH",13.86
370,7,"2013/6/19","Rotenturmstraße 4; 1010 Innere Stadt","Vienne","","Austria","1010",0.99
371,8,"2013/7/2","Grétrystraat 63","Brussels","","Belgium","1000",1.98
377,45,"2013/7/20","Erzsébet krt. 58.","Budapest","","Hungary","H-1073",0.99
380,50,"2013/8/3","C/ San Bernardo 85","Madrid","","Spain","28015",3.96
381,54,"2013/8/4","110 Raeburn Pl","Edinburgh ","","United Kingdom","EH4 1HH",5.94
389,39,"2013/9/7","4; Rue Milton","Paris","","France","75009",8.91
392,4,"2013/10/3","Ullevålsveien 14","Oslo","","Norway","0171",1.98
393,6,"2013/10/3","Rilská 3174/6","Prague","","Czech Republic","14300",1.98
394,8,"2013/10/4","Grétrystraat 63","Brussels","","Belgium","1000",3.96
398,41,"2013/10/21","11; Place Bellecour","Lyon","","France","69002",0.99
399,42,"2013/11/3","9; Place Louis Barthou","Bordeaux","","France","33000",1.98
40,36,"2009/6/15","Tauentzienstraße 8","Berlin","","Germany","10789",13.86
400,44,"2013/11/3","Porthaninkatu 9","Helsinki","","Finland","00530",1.98
402,50,"2013/11/5","C/ San Bernardo 85","Madrid","","Spain","28015",5.94
403,56,"2013/11/8","307 Macacha Güemes","Buenos Aires","","Argentina","1106",8.91
404,6,"2013/11/13","Rilská 3174/6","Prague","","Czech Republic","14300",25.86
41,50,"2009/6/23","C/ San Bernardo 85","Madrid","","Spain","28015",0.99
411,44,"2013/12/14","Porthaninkatu 9","Helsinki","","Finland","00530",13.86
412,58,"2013/12/22","12;Community Centre","Delhi","","India","110017",1.99
42,51,"2009/7/6","Celsiusg. 9","Stockholm","","Sweden","11230",1.98
43,53,"2009/7/6","113 Lupus St","London","","United Kingdom","SW1V 3EN",1.98
45,59,"2009/7/8","3;Raj Bhavan Road","Bangalore","","India","560001",5.94
46,6,"2009/7/11","Rilská 3174/6","Prague","","Czech Republic","14300",8.91
52,38,"2009/8/8","Barbarossastraße 19","Berlin","","Germany","10779",5.94
53,44,"2009/8/11","Porthaninkatu 9","Helsinki","","Finland","00530",8.91
54,53,"2009/8/16","113 Lupus St","London","","United Kingdom","SW1V 3EN",13.86
55,8,"2009/8/24","Grétrystraat 63","Brussels","","Belgium","1000",0.99
56,9,"2009/9/6","Sønder Boulevard 51","Copenhagen","","Denmark","1720",1.98
6,37,"2009/1/19","Berger Straße 10","Frankfurt","","Germany","60316",0.99
64,49,"2009/10/7","Ordynacka 10","Warsaw","","Poland","00-358",1.98
65,51,"2009/10/8","Celsiusg. 9","Stockholm","","Sweden","11230",3.96
67,2,"2009/10/12","Theodor-Heuss-Straße 34","Stuttgart","","Germany","70174",8.91
7,38,"2009/2/1","Barbarossastraße 19","Berlin","","Germany","10779",1.98
74,40,"2009/11/12","8; Rue Hanovre","Paris","","France","75002",8.91
75,49,"2009/11/17","Ordynacka 10","Warsaw","","Poland","00-358",13.86
76,4,"2009/11/25","Ullevålsveien 14","Oslo","","Norway","0171",0.99
77,5,"2009/12/8","Klanova 9/506","Prague","","Czech Republic","14700",1.98
78,7,"2009/12/8","Rotenturmstraße 4; 1010 Innere Stadt","Vienne","","Austria","1010",1.98
79,9,"2009/12/9","Sønder Boulevard 51","Copenhagen","","Denmark","1720",3.96
8,40,"2009/2/1","8; Rue Hanovre","Paris","","France","75002",1.98
83,42,"2009/12/26","9; Place Louis Barthou","Bordeaux","","France","33000",0.99
84,43,"2010/1/8","68; Rue Jouvence","Dijon","","France","21000",1.98
85,45,"2010/1/8","Erzsébet krt. 58.","Budapest","","Hungary","H-1073",1.98
87,51,"2010/1/10","Celsiusg. 9","Stockholm","","Sweden","11230",6.94
89,7,"2010/1/18","Rotenturmstraße 4; 1010 Innere Stadt","Vienne","","Austria","1010",18.86
9,42,"2009/2/2","9; Place Louis Barthou","Bordeaux","","France","33000",3.96
95,36,"2010/2/13","Tauentzienstraße 8","Berlin","","Germany","10789",8.91
96,45,"2010/2/18","Erzsébet krt. 58.","Budapest","","Hungary","H-1073",21.86
97,59,"2010/2/26","3;Raj Bhavan Road","Bangalore","","India","560001",1.99
125,34,"2010/6/30","Rua da Assunção 53","Lisbon","","Portugal","",0.99
126,35,"2010/7/13","Rua dos Campeões Europeus de Viena; 4350","Porto","","Portugal","",1.98
149,35,"2010/10/15","Rua dos Campeões Europeus de Viena; 4350","Porto","","Portugal","",3.96
171,35,"2011/1/17","Rua dos Campeões Europeus de Viena; 4350","Porto","","Portugal","",5.94
217,57,"2011/8/20","Calle Lira; 198","Santiago","","Chile","",1.98
22,57,"2009/4/4","Calle Lira; 198","Santiago","","Chile","",1.98
223,35,"2011/9/7","Rua dos Campeões Europeus de Viena; 4350","Porto","","Portugal","",0.99
240,57,"2011/11/22","Calle Lira; 198","Santiago","","Chile","",3.96
246,34,"2011/12/22","Rua da Assunção 53","Lisbon","","Portugal","",1.98
257,34,"2012/2/1","Rua da Assunção 53","Lisbon","","Portugal","",13.86
262,57,"2012/2/24","Calle Lira; 198","Santiago","","Chile","",5.94
28,34,"2009/5/5","Rua da Assunção 53","Lisbon","","Portugal","",1.98
312,34,"2012/10/1","Rua da Assunção 53","Lisbon","","Portugal","",10.91
314,57,"2012/10/14","Calle Lira; 198","Santiago","","Chile","",0.99
33,57,"2009/5/15","Calle Lira; 198","Santiago","","Chile","",13.86
344,35,"2013/2/28","Rua dos Campeões Europeus de Viena; 4350","Porto","","Portugal","",1.98
355,35,"2013/4/10","Rua dos Campeões Europeus de Viena; 4350","Porto","","Portugal","",13.86
410,35,"2013/12/9","Rua dos Campeões Europeus de Viena; 4350","Porto","","Portugal","",8.91
51,34,"2009/8/7","Rua da Assunção 53","Lisbon","","Portugal","",3.96
73,34,"2009/11/9","Rua da Assunção 53","Lisbon","","Portugal","",5.94
88,57,"2010/1/13","Calle Lira; 198","Santiago","","Chile","",17.91
102,15,"2010/3/16","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8",9.91
103,24,"2010/3/21","162 E Superior Street","Chicago","IL","USA","60611",15.86
108,47,"2010/4/13","Via Degli Scipioni; 43","Rome","RM","Italy","00192",5.94
110,3,"2010/4/21","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7",13.86
111,17,"2010/4/29","1 Microsoft Way","Redmond","WA","USA","98052-8300",0.99
112,18,"2010/5/12","627 Broadway","New York","NY","USA","10012-2612",1.98
113,20,"2010/5/12","541 Del Medio Avenue","Mountain View","CA","USA","94040-111",1.98
114,22,"2010/5/13","120 S Orange Ave","Orlando","FL","USA","32801",3.96
115,26,"2010/5/14","2211 W Berry Street","Fort Worth","TX","USA","76110",5.94
116,32,"2010/5/17","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9",8.91
118,55,"2010/5/30","421 Bourke Street","Sidney","NSW","Australia","2010",0.99
121,1,"2010/6/13","Av. Brigadeiro Faria Lima; 2170","São José dos Campos","SP","Brazil","12227-000",3.96
123,11,"2010/6/17","Av. Paulista; 2022","São Paulo","SP","Brazil","01310-200",8.91
124,20,"2010/6/22","541 Del Medio Avenue","Mountain View","CA","USA","94040-111",13.86
13,16,"2009/2/19","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351",0.99
132,13,"2010/7/31","Qe 7 Bloco G","Brasília","DF","Brazil","71020-677",0.99
133,14,"2010/8/13","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",1.98
134,16,"2010/8/13","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351",1.98
135,18,"2010/8/14","627 Broadway","New York","NY","USA","10012-2612",3.96
136,22,"2010/8/15","120 S Orange Ave","Orlando","FL","USA","32801",5.94
137,28,"2010/8/18","302 S 700 E","Salt Lake City","UT","USA","84102",8.91
14,17,"2009/3/4","1 Microsoft Way","Redmond","WA","USA","98052-8300",1.98
143,1,"2010/9/15","Av. Brigadeiro Faria Lima; 2170","São José dos Campos","SP","Brazil","12227-000",5.94
145,16,"2010/9/23","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351",13.86
146,30,"2010/10/1","230 Elgin Street","Ottawa","ON","Canada","K2P 1L7",0.99
147,31,"2010/10/14","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5",1.98
148,33,"2010/10/14","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6",1.98
15,19,"2009/3/4","1 Infinite Loop","Cupertino","CA","USA","95014",1.98
154,10,"2010/11/14","Rua Dr. Falcão Filho; 155","São Paulo","SP","Brazil","01007-010",1.98
155,12,"2010/11/14","Praça Pio X; 119","Rio de Janeiro","RJ","Brazil","20040-020",1.98
156,14,"2010/11/15","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",3.96
157,18,"2010/11/16","627 Broadway","New York","NY","USA","10012-2612",5.94
158,24,"2010/11/19","162 E Superior Street","Chicago","IL","USA","60611",8.91
159,33,"2010/11/24","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6",13.86
16,21,"2009/3/5","801 W 4th Street","Reno","NV","USA","89503",3.96
160,47,"2010/12/2","Via Degli Scipioni; 43","Rome","RM","Italy","00192",0.99
161,48,"2010/12/15","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016",1.98
165,3,"2010/12/20","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7",8.91
166,12,"2010/12/25","Praça Pio X; 119","Rio de Janeiro","RJ","Brazil","20040-020",13.86
167,26,"2011/1/2","2211 W Berry Street","Fort Worth","TX","USA","76110",0.99
168,27,"2011/1/15","1033 N Park Ave","Tucson","AZ","USA","85719",1.98
169,29,"2011/1/15","796 Dundas Street West","Toronto","ON","Canada","M6J 1V1",1.98
17,25,"2009/3/6","319 N. Frances Street","Madison","WI","USA","53703",5.94
170,31,"2011/1/16","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5",3.96
177,10,"2011/2/16","Rua Dr. Falcão Filho; 155","São Paulo","SP","Brazil","01007-010",3.96
178,14,"2011/2/17","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",5.94
179,20,"2011/2/20","541 Del Medio Avenue","Mountain View","CA","USA","94040-111",8.91
18,31,"2009/3/9","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5",8.91
180,29,"2011/2/25","796 Dundas Street West","Toronto","ON","Canada","M6J 1V1",13.86
184,48,"2011/3/19","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016",3.96
188,22,"2011/4/5","120 S Orange Ave","Orlando","FL","USA","32801",0.99
189,23,"2011/4/18","69 Salem Street","Boston","MA","USA","2113",1.98
190,25,"2011/4/18","319 N. Frances Street","Madison","WI","USA","53703",1.98
191,27,"2011/4/19","1033 N Park Ave","Tucson","AZ","USA","85719",3.96
192,31,"2011/4/20","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5",5.94
195,1,"2011/5/6","Av. Brigadeiro Faria Lima; 2170","São José dos Campos","SP","Brazil","12227-000",0.99
199,10,"2011/5/21","Rua Dr. Falcão Filho; 155","São Paulo","SP","Brazil","01007-010",5.94
200,16,"2011/5/24","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351",8.91
201,25,"2011/5/29","319 N. Frances Street","Madison","WI","USA","53703",18.86
206,48,"2011/6/21","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016",8.94
209,18,"2011/7/7","627 Broadway","New York","NY","USA","10012-2612",0.99
21,55,"2009/4/4","421 Bourke Street","Sidney","NSW","Australia","2010",1.98
210,19,"2011/7/20","1 Infinite Loop","Cupertino","CA","USA","95014",1.98
211,21,"2011/7/20","801 W 4th Street","Reno","NV","USA","89503",1.98
212,23,"2011/7/21","69 Salem Street","Boston","MA","USA","2113",3.96
213,27,"2011/7/22","1033 N Park Ave","Tucson","AZ","USA","85719",5.94
214,33,"2011/7/25","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6",8.91
221,12,"2011/8/25","Praça Pio X; 119","Rio de Janeiro","RJ","Brazil","20040-020",8.91
222,21,"2011/8/30","801 W 4th Street","Reno","NV","USA","89503",13.86
230,14,"2011/10/8","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",0.99
231,15,"2011/10/21","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8",1.98
232,17,"2011/10/21","1 Microsoft Way","Redmond","WA","USA","98052-8300",1.98
233,19,"2011/10/22","1 Infinite Loop","Cupertino","CA","USA","95014",3.96
234,23,"2011/10/23","69 Salem Street","Boston","MA","USA","2113",5.94
235,29,"2011/10/26","796 Dundas Street West","Toronto","ON","Canada","M6J 1V1",8.91
239,55,"2011/11/21","421 Bourke Street","Sidney","NSW","Australia","2010",1.98
243,17,"2011/12/1","1 Microsoft Way","Redmond","WA","USA","98052-8300",13.86
244,31,"2011/12/9","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5",0.99
245,32,"2011/12/22","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9",1.98
25,10,"2009/4/9","Rua Dr. Falcão Filho; 155","São Paulo","SP","Brazil","01007-010",8.91
250,55,"2012/1/1","421 Bourke Street","Sidney","NSW","Australia","2010",13.86
251,10,"2012/1/9","Rua Dr. Falcão Filho; 155","São Paulo","SP","Brazil","01007-010",0.99
252,11,"2012/1/22","Av. Paulista; 2022","São Paulo","SP","Brazil","01310-200",1.98
253,13,"2012/1/22","Qe 7 Bloco G","Brasília","DF","Brazil","71020-677",1.98
254,15,"2012/1/23","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8",3.96
255,19,"2012/1/24","1 Infinite Loop","Cupertino","CA","USA","95014",5.94
256,25,"2012/1/27","319 N. Frances Street","Madison","WI","USA","53703",8.91
258,48,"2012/2/9","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016",0.99
26,19,"2009/4/14","1 Infinite Loop","Cupertino","CA","USA","95014",13.86
264,13,"2012/3/3","Qe 7 Bloco G","Brasília","DF","Brazil","71020-677",13.86
265,27,"2012/3/11","1033 N Park Ave","Tucson","AZ","USA","85719",0.99
266,28,"2012/3/24","302 S 700 E","Salt Lake City","UT","USA","84102",1.98
267,30,"2012/3/24","230 Elgin Street","Ottawa","ON","Canada","K2P 1L7",1.98
268,32,"2012/3/25","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9",3.96
27,33,"2009/4/22","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6",0.99
275,11,"2012/4/25","Av. Paulista; 2022","São Paulo","SP","Brazil","01310-200",3.96
276,15,"2012/4/26","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8",5.94
277,21,"2012/4/29","801 W 4th Street","Reno","NV","USA","89503",8.91
278,30,"2012/5/4","230 Elgin Street","Ottawa","ON","Canada","K2P 1L7",13.86
281,47,"2012/5/25","Via Degli Scipioni; 43","Rome","RM","Italy","00192",1.98
286,23,"2012/6/12","69 Salem Street","Boston","MA","USA","2113",0.99
287,24,"2012/6/25","162 E Superior Street","Chicago","IL","USA","60611",1.98
288,26,"2012/6/25","2211 W Berry Street","Fort Worth","TX","USA","76110",1.98
289,28,"2012/6/26","302 S 700 E","Salt Lake City","UT","USA","84102",3.96
290,32,"2012/6/27","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9",5.94
292,47,"2012/7/5","Via Degli Scipioni; 43","Rome","RM","Italy","00192",13.86
294,3,"2012/7/26","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7",1.98
297,11,"2012/7/28","Av. Paulista; 2022","São Paulo","SP","Brazil","01310-200",5.94
298,17,"2012/7/31","1 Microsoft Way","Redmond","WA","USA","98052-8300",10.91
299,26,"2012/8/5","2211 W Berry Street","Fort Worth","TX","USA","76110",23.86
305,55,"2012/8/31","421 Bourke Street","Sidney","NSW","Australia","2010",8.91
307,19,"2012/9/13","1 Infinite Loop","Cupertino","CA","USA","95014",1.99
308,20,"2012/9/26","541 Del Medio Avenue","Mountain View","CA","USA","94040-111",3.98
309,22,"2012/9/26","120 S Orange Ave","Orlando","FL","USA","32801",3.98
310,24,"2012/9/27","162 E Superior Street","Chicago","IL","USA","60611",7.96
311,28,"2012/9/28","302 S 700 E","Salt Lake City","UT","USA","84102",11.94
316,1,"2012/10/27","Av. Brigadeiro Faria Lima; 2170","São José dos Campos","SP","Brazil","12227-000",1.98
317,3,"2012/10/28","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7",3.96
319,13,"2012/11/1","Qe 7 Bloco G","Brasília","DF","Brazil","71020-677",8.91
32,48,"2009/5/10","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016",8.91
320,22,"2012/11/6","120 S Orange Ave","Orlando","FL","USA","32801",13.86
327,1,"2012/12/7","Av. Brigadeiro Faria Lima; 2170","São José dos Campos","SP","Brazil","12227-000",13.86
